building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation,Room Name,Candidacy,High Volume,high_volumn
3,128 BAY STATE ROAD,42.35,-71.0991,Academic,7,2.213184476342371,11,0.316169210906053,1.5714285714285714,,No,,,,False
-1,125 BAY STATE ROAD,42.3504,-71.099,Administrative,0,2.1990607878946,11,inf,inf,,No,,,,False
2,116 BAY STATE ROAD,42.35,-71.0985,Academic,6,2.1774891774891776,12,0.3629148629148629,2.0,,No,,,,False
-1,949 COMMONWEALTH AVENUE,42.3519,-71.1187,Academic,0,2.1661463753035037,12,inf,inf,,Yes,,,,False
2,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,80,2.1661364439731354,12,0.0270767055496641,0.15,,Yes,,,,False
10,512 BEACON STREET,42.3509,-71.0903,Residential,30,2.082309375526006,9,0.0694103125175335,0.3,Large Dormitory-Style,No,,,,False
5,147 BAY STATE ROAD,42.3505,-71.1001,Academic,13,2.078861409239384,9,0.1599124160953372,0.6923076923076923,,No,,,,False
-1,617-621 COMMONWEALTH AVENUE,42.3497,-71.1013,Academic,0,2.073485249955838,14,inf,inf,,No,,,,False
3,116 BAY STATE ROAD,42.35,-71.0985,Academic,6,2.057283142389525,11,0.3428805237315875,1.8333333333333333,,No,,,,False
r,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,0,2.0543478260869565,8,inf,inf,,Yes,,,,False
13,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,2.0479158550837555,7,0.0401552128447795,0.1372549019607843,Large Dormitory-Style,Yes,,,,False
10,111 CUMMINGTON MALL,42.3491,-71.104,Research,0,1.994718309859155,12,inf,inf,,Yes,,,,False
2,122 BAY STATE ROAD,42.35,-71.0988,Administrative,9,1.973866256725596,22,0.2193184729695106,2.4444444444444446,,No,,,,False
21,91 BAY STATE ROAD,42.3503,-71.097,Residential,0,1.960285132382892,8,inf,inf,Large Dormitory-Style,Partial,,,,False
-1,128 BAY STATE ROAD,42.35,-71.0991,Academic,0,1.926530612244898,8,inf,inf,,No,,,,False
13,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,1.9215572341661824,9,0.03625579687106,0.1698113207547169,Large Dormitory-Style,Yes,,,,False
30,91 BAY STATE ROAD,42.3503,-71.097,Residential,0,1.8774410774410772,11,inf,inf,Large Dormitory-Style,Partial,,,,False
-1,2 CUMMINGTON MALL,42.3482,-71.1011,Research,0,1.8755102040816327,12,inf,inf,,Yes,,,,False
20,91 BAY STATE ROAD,42.3503,-71.097,Residential,0,1.871859296482412,9,inf,inf,Large Dormitory-Style,Partial,,,,False
c,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,1.8088599752168528,7,inf,inf,Large Dormitory-Style,Partial,,,,False
6,2 SILBER WAY,42.3497,-71.1009,Academic,20,1.7788539144471347,11,0.0889426957223567,0.55,,Yes,,,,False
11,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,1.7721631205673758,8,0.0334370400107052,0.1509433962264151,Large Dormitory-Style,Yes,,,,False
-1,156 BAY STATE ROAD,42.3502,-71.1007,Academic,0,1.7567298105682951,7,inf,inf,,Yes,,,,False
5,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,1.7189894975872837,9,0.0260452954179891,0.1363636363636363,Large Dormitory-Style,Partial,,,,False
s,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,0,1.7083818393480792,8,inf,inf,,Yes,,,,False
3,700 BEACON STREET,42.3485,-71.0994,Academic,257,1.6589492430988424,6,0.006455055420618,0.0233463035019455,,Yes,,,,False
3,32 HARRY AGGANIS WAY,42.3525,-71.1186,Administrative,13,1.6441191317516406,8,0.1264707024424338,0.6153846153846154,,Yes,,,,False
4,156 BAY STATE ROAD,42.3502,-71.1007,Academic,6,1.625,6,0.2708333333333333,1.0,,Yes,,,,False
30,273 BABCOCK STREET,42.3525,-71.1198,Residential,0,1.536189069423929,6,inf,inf,Large Dormitory-Style,Yes,,,,False
A,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,0,1.5290697674418603,6,inf,inf,Large Dormitory-Style,Partial,,,,False
4,121 BAY STATE ROAD,42.3504,-71.0988,Administrative,7,1.520096463022508,6,0.217156637574644,0.8571428571428571,,No,,,,False
4,152 BAY STATE ROAD,,,Academic,9,1.508424182358771,5,0.1676026869287523,0.5555555555555556,,No,,,,False
3,118 BAY STATE ROAD,42.35,-71.0986,Academic,5,1.504201680672269,6,0.3008403361344537,1.2,,No,,,,False
81,91 BAY STATE ROAD,42.3503,-71.097,Residential,0,1.5,2,inf,inf,Large Dormitory-Style,Partial,,,,False
-1,91 BAY STATE ROAD,42.3503,-71.097,Residential,0,1.493556701030928,7,inf,inf,Large Dormitory-Style,Partial,,,,False
4,700 BEACON STREET,42.3485,-71.0994,Academic,3,1.4898989898989898,5,0.4966329966329966,1.6666666666666667,,Yes,,,,False
11,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,0,1.4486301369863013,5,inf,inf,,Partial,,,,False
9,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,0,1.4375,3,inf,inf,,Yes,,,,False
3,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,108,1.422866092404072,22,0.0131746860407784,0.2037037037037037,Large Dormitory-Style,Partial,,,,False
12,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,1.3346774193548387,7,0.0251825928180158,0.1320754716981132,Large Dormitory-Style,Yes,,,,False
-1,122 BAY STATE ROAD,42.35,-71.0988,Administrative,0,1.3305785123966942,5,inf,inf,,No,,,,False
3,156 BAY STATE ROAD,42.3502,-71.1007,Academic,6,1.3291492329149233,5,0.2215248721524872,0.8333333333333334,,Yes,,,,False
1,735 COMMONWEALTH AVENUE,42.3506,-71.1064,Student Support,53,1.2982201235016346,11,0.0244947193113515,0.2075471698113207,,No,,,,False
4,118 BAY STATE ROAD,42.35,-71.0986,Academic,2,1.293103448275862,4,0.646551724137931,2.0,,No,,,,False
21,273 BABCOCK STREET,42.3525,-71.1198,Residential,0,1.2469635627530364,8,inf,inf,Large Dormitory-Style,Yes,,,,False
r,820 COMMONWEALTH AVENUE,42.35,-71.1122,Academic,0,1.205128205128205,3,inf,inf,,Yes,,,,False
4,141 BAY STATE ROAD,42.3505,-71.0998,Academic,5,1.1771356783919598,3,0.2354271356783919,0.6,,No,,,,False
