building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type
1,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,84,79.65136534839925,370,0.9482305398618959,4.404761904761905,Large Dormitory-Style
14,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,8.469818144771025,38,0.1693963628954205,0.76,Large Dormitory-Style
4,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,13.464829182562475,56,0.26929658365124953,1.12,Large Dormitory-Style
9,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.988223269042752,53,0.21976446538085503,1.06,Large Dormitory-Style
2,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,206,32.73106016525079,183,0.15888864157888732,0.8883495145631068,Large Dormitory-Style
17,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,6.440024668516806,36,0.1288004933703361,0.72,Large Dormitory-Style
7,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,11.197245127436283,50,0.22394490254872565,1.0,Large Dormitory-Style
6,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.715743050605845,50,0.2143148610121169,1.0,Large Dormitory-Style
3,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,10.53939255537794,66,0.21078785110755882,1.32,Large Dormitory-Style
2,890 COMMONWEALTH AVENUE,42.3505,-71.1156,Academic,238,73.77037837837838,367,0.30995957301839655,1.5420168067226891,
13,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,7.359665184410149,34,0.147193303688203,0.68,Large Dormitory-Style
1,949 COMMONWEALTH AVENUE,42.3519,-71.1187,Academic,45,45.248873873873876,432,1.0055305305305307,9.6,
1,32 HARRY AGGANIS WAY,42.3525,-71.1186,Administrative,9,7.943988776170947,103,0.8826654195745497,11.444444444444445,
2,32 HARRY AGGANIS WAY,42.3525,-71.1186,Administrative,31,6.506800475373036,52,0.20989678952816246,1.6774193548387097,
3,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,120,23.71350393495596,222,0.19761253279129967,1.85,
8,610 BEACON STREET,42.3497,-71.0945,Residential,86,16.786509926425254,68,0.19519197588866574,0.7906976744186046,Large Dormitory-Style
5,610 BEACON STREET,42.3497,-71.0945,Residential,78,14.631613566289825,66,0.187584789311408,0.8461538461538461,Large Dormitory-Style
