building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
10,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,16.385428601187375,70,0.1231987112871231,0.5263157894736842,Large Dormitory-Style,Partial
1,111 CUMMINGTON MALL,42.3491,-71.104,Research,0,16.2707610931531,125,inf,inf,,Yes
2,888 COMMONWEALTH AVENUE,42.3504,-71.1153,Academic,153,16.010062071218556,83,0.1046409285700559,0.5424836601307189,,Yes
2,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,91,15.794315155725368,188,0.1735639028101688,2.065934065934066,,Yes
14,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,15.418695006284995,67,0.1159300376412405,0.5037593984962406,Large Dormitory-Style,Partial
5,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,15.343795341733486,59,0.2691893919602366,1.0350877192982455,Large Dormitory-Style,Yes
1,25 BUICK STREET,42.3519,-71.1152,Administrative,171,15.28018882290239,96,0.0893578293736982,0.5614035087719298,,Yes
1,120 ASHFORD STREET,42.3544,-71.1223,Administrative,319,15.24245950058176,60,0.047782004704018,0.1880877742946708,,Yes
2,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,92,15.222450504295852,161,0.1654614185249549,1.75,,Yes
3,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,15.221586201702191,66,0.2670453719596876,1.1578947368421053,Large Dormitory-Style,Yes
-1,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,0,15.038701560140916,129,inf,inf,,Yes
4,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,14.998046557056812,73,0.2631236238080142,1.280701754385965,Large Dormitory-Style,Yes
4,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,187,14.958388375165123,85,0.079991381685375,0.4545454545454545,,Yes
1,300 BABCOCK STREET,42.3542,-71.1212,Athletic,244,14.784139289572346,124,0.0605907347933292,0.5081967213114754,,Yes
3,53 BAY STATE ROAD,42.3502,-71.0951,Academic,16,14.735100537407162,82,0.9209437835879476,5.125,,No
1,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,122,14.669957357322271,154,0.1202455521091989,1.2622950819672132,,Yes
5,610 BEACON STREET,42.3497,-71.0945,Residential,78,14.631613566289824,66,0.187584789311408,0.8461538461538461,Large Dormitory-Style,Yes
2,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,14.555356523748989,83,0.2553571319955963,1.456140350877193,Large Dormitory-Style,Yes
9,610 BEACON STREET,42.3497,-71.0945,Residential,86,14.177307581908394,58,0.1648524137431208,0.6744186046511628,Large Dormitory-Style,Yes
1,100 ASHFORD STREET,42.3546,-71.1236,Athletic,627,13.874281264973646,331,0.0221280402950137,0.5279106858054227,,Yes
9,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,205,13.865262967648654,300,0.0676354291104812,1.4634146341463414,,Yes
6,1019 COMMONWEALTH AVENUE,42.3523,-71.1214,Residential,57,13.84644405201477,60,0.2429200710879784,1.0526315789473684,Large Dormitory-Style,Yes
5,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,241,13.735825040499885,88,0.0569951246493771,0.3651452282157676,,Yes
4,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,13.464829182562475,56,0.2692965836512495,1.12,Large Dormitory-Style,Yes
1,512 BEACON STREET,42.3509,-71.0903,Residential,44,12.984314174490496,99,0.2950980494202385,2.25,Large Dormitory-Style,No
8,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,197,12.849213117295914,57,0.0652244320674919,0.2893401015228426,,Yes
-1,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,0,12.760425909494232,61,inf,inf,,Yes
9,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,12.486826967326277,58,0.0938859170475659,0.4360902255639097,Large Dormitory-Style,Partial
4,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,134,12.187807068519204,47,0.0909537840934269,0.3507462686567164,,Yes
1,140 BAY STATE ROAD,42.35,-71.0998,Residential,115,12.152629947297717,109,0.1056750430199801,0.9478260869565216,Large Dormitory-Style,Partial
1,24 CUMMINGTON MALL,42.3483,-71.1017,Research,68,12.068626933431874,77,0.1774798078445864,1.1323529411764706,,Yes
5,700 COMMONWEALTH AVENUE,42.3493,-71.104,Residential,133,12.043731931668855,162,0.0905543754260816,1.218045112781955,Large Dormitory-Style,Partial
5,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,12.0296479596601,49,0.240592959193202,0.98,Large Dormitory-Style,Yes
